facility_name,state,industry_sector,total_ghg_emissions_tonnes,latitude,longitude,reporting_year
Baytown Energy Center,TX,Power Plants,1956009.648,29.7731,-94.9019,2021
Bear Garden Generating Station,VA,Power Plants,1210013.008,37.6961,-78.2848,2021
Beatrice,NE,Power Plants,244807.952,40.3286,-96.8067,2021
Beatrice Area Solid Waste Agency,NE,Waste,25275.0,40.219351,-96.768673,2021
Beaumont Terminal,TX,Other,5188.22,29.997801,-93.983184,2021
Beaver,OR,Power Plants,453175.344,46.172817,-123.17502,2021
Beaver Dam Energy LLC,PA,Power Plants,17562.136,41.6508891,-76.8028933,2021
Bedford County Landfill,VA,Waste,31671.5,37.256434,-79.482325,2021
Bee Ridge Landfill,FL,Waste,40307.25,27.29864,-82.39811,2021
Befesa Zinc US INC,SC,Metals,117779.78,33.244137,-81.472843,2021
Befesa Zinc US INC,TN,Metals,107696.944,35.86959,-84.69576,2021
Befesa Zinc US INC,PA,Metals,126859.582,40.807928,-75.587928,2021
Befesa Zinc US INC,IL,Metals,56178.292,41.687371,-87.554861,2021
Belews Creek,NC,Power Plants,6959270.394,36.2811,-80.0603,2021
Belle River,MI,Power Plants,7334068.38,42.7748,-82.4945,2021
Bellingham,MA,Power Plants,61832.616,42.0925,-71.4833,2021
Bellingham Power Generation LLC,MA,Power Plants,949636.28,42.1113,-71.4529,2021
Belpre Carbon Black Plant,OH,Chemicals,194652.152,39.30487,-81.56691,2021
Bennett Mountain Power Project,ID,Power Plants,209390.824,43.147,-115.6671,2021
Benson Valley LF,KY,Waste,35142.95,38.130462,-84.98666,2021
Bergen,NJ,Power Plants,737328.568,40.8375,-74.0244,2021
Berkshire Power,MA,Power Plants,307982.708,42.0476,-72.6478,2021
Bethel Power Plant,AK,Power Plants,31090.698,60.78796,-161.791099,2021
Bethlehem Energy Center (Albany),NY,Power Plants,1965496.616,42.5905,-73.7636,2021
Bethlehem Landfill Company,PA,Waste,57166.996,40.622025,-75.303509,2021
Bethlehem Power Plant,PA,Power Plants,1518360.26,40.6175,-75.3147,2021
Bethpage Energy Center,NY,Power Plants,346595.664,40.7469,-73.4994,2021
"Biewer Sawmill - Newton, LLC",MS,Other,45743.828,32.361944,-89.133889,2021
Big Bend,FL,Power Plants,2829093.078,27.7944,-82.4036,2021
Big Cajun 1,LA,Power Plants,50299.964,30.6736,-91.3525,2021
Big Cajun 2,LA,Power Plants,2952195.678,30.7261,-91.3669,2021
"Big River Resources Boyceville, LLC",WI,"Other,Suppliers of CO2",78760.704,45.050596,-91.980063,2021
Big River Steel LLC,AR,Metals,527965.852,35.6969927,-90.0373201,2021
Big Sandy,KY,Power Plants,307172.012,38.1707,-82.6176,2021
Big Sandy Peaker Plant,WV,Power Plants,175835.044,38.3441,-82.5938,2021
Big Spring Carbon Black Plant,TX,Chemicals,256012.016,32.279444,-101.408055,2021
Big Stone,SD,Power Plants,1891427.442,45.3047,-96.5103,2021
Billerud Escanaba LLC,MI,"Pulp and Paper,Suppliers of CO2,Waste",544681.118,45.804799,-87.08978,2021
Billerud Quinnesec LLC,MI,"Pulp and Paper,Waste",125311.664,45.7952,-87.9576,2021
Billy Wright Landfill,CA,Waste,40426.75,37.0388,-120.9729,2021
BioUrja Renewables LLC,IL,Other,358328.0,40.6776,-89.6069,2021
Birchwood Power Facility,VA,Power Plants,95851.676,38.2667,-77.3147,2021
Birdsboro Power Project,PA,Power Plants,1251358.412,40.26668,-75.7964,2021
Black Dog,MN,Power Plants,840228.736,44.8108,-93.2501,2021
Black Eagle Deep Mine,WV,Other,37425.0,37.957476815386,-81.5379977742566,2021
Black Mountain Facility,NV,Power Plants,370494.604,36.223139,-114.881032,2021
Black Mountain Generating Station,AZ,Power Plants,71299.436,35.0361,-114.1594,2021
Blackhawk Station,TX,Power Plants,947990.372,35.6957,-101.36,2021
Blackstone Power Generation LLC,MA,Power Plants,927125.164,42.0575,-71.5172,2021
Blossom Prairie Landfill,TX,Waste,67707.5,33.599578,-95.33954,2021
Blount Street,WI,Power Plants,9806.616,43.0792,-89.3739,2021
Blue Diamond Mining Mine 77,KY,Other,23949.25,37.274127,-83.239034,2021
Blue Lake Generating Plant,MN,Power Plants,101579.824,44.7855,-93.4315,2021
Blue Ridge Landfill Company,PA,Waste,54351.4,39.9661,-77.5581,2021
Blue Ridge Paper Products LLC,NC,"Pulp and Paper,Waste",942651.274,35.535,-82.8411,2021
Blue Ridge Resource Authority Landfill,VA,Waste,45802.35,37.77239,-79.357634,2021
Blue Spruce Energy Center,CO,Power Plants,148962.004,39.7436,-104.68,2021
Bluegrass Generating Station,KY,Power Plants,112105.63,38.3902,-85.4133,2021
Bluffview Power Plant,NM,Power Plants,133516.256,36.7164,-108.2153,2021
Blythe Energy,CA,Power Plants,884770.62,33.6157,-114.6865,2021
Bobby C. Smith Jr. Energy Facility,GA,Power Plants,1047330.32,32.2792,-81.2842,2021
Boeing Commercial Airplanes - Everett,WA,Other,67480.496,47.923302,-122.273197,2021
Boeing-St. Louis,MO,Other,32059.98,38.741557,-90.341893,2021
Boise Cascade Wood Products - Florien Operations,LA,Other,29348.56,31.45648,-93.45969,2021
Boise Cascade Wood Products - Oakdale Operations,LA,Other,29158.014,30.7844,-92.6769,2021
Bonanza,UT,Power Plants,2982541.866,40.0864,-109.2844,2021
Bondad Recycling Center and Depository,CO,Waste,36838.5,37.051581,-107.865912,2021
"Bonnell Aluminum, Inc.",GA,Metals,22469.214,33.379838,-84.821686,2021
"Bonnell Aluminum, Inc.",TN,Metals,33126.376,36.26626,-85.95816,2021
Boone County Sanitary Landfill,IA,Waste,43433.5,42.02993,-93.91905,2021
Bordeaux Landfill,TN,Waste,59081.0,36.175395,-86.843523,2021
Borger Carbon Black Plant,TX,Chemicals,249408.856,35.665516,-101.435748,2021
Borger Carbon Black Plant,TX,Chemicals,188242.656,35.665695,-101.43327,2021
Borman Specialty Materials,NV,Chemicals,27805.196,36.03544,-114.99994,2021
Bosque County Power Plant,TX,Power Plants,1563599.856,31.8594,-97.3586,2021
Bostco Terminal,TX,Other,38838.504,29.711089,-95.067028,2021
Boston University,MA,Other,47892.898,42.35395,-71.12204,2021
Boswell Energy Center,MN,Power Plants,5325017.382,47.2603,-93.6531,2021
Boulder Park Generating Station,WA,Power Plants,34395.92,47.696823,-117.154729,2021
Bowen,GA,Power Plants,9496075.666,34.1256,-84.9192,2021
Bowline Generating Station LLC,NY,Power Plants,552104.972,41.2044,-73.9689,2021
Bradford County Landfill,PA,Waste,55927.7,41.7769,-76.6285,2021
Brame Energy Center,LA,Power Plants,6186680.042,31.395,-92.7167,2021
Brandon Shores LLC,MD,Power Plants,2604664.052,39.1792,-76.5383,2021
Brandy Branch,FL,Power Plants,1818357.002,30.3206,-81.9486,2021
Brandywine Power Facility,MD,Power Plants,323415.4,38.6681,-76.8678,2021
"Brazos Valley Energy, LP",TX,Power Plants,1098331.228,29.4731,-95.6244,2021
Brentwood,NY,Power Plants,36148.816,40.787,-73.2933,2021
Bridgeport Energy,CT,Power Plants,860020.004,41.1692,-73.1844,2021
Bridgeport Harbor Station,CT,Power Plants,1553907.154,41.1706,-73.1843,2021
Bridgestone Americas Tire Operations,SC,Other,35454.316,33.62022,-81.84952,2021
Bridgestone Warren County,TN,Other,27373.596,35.635438,-85.867405,2021
Broad River Energy Center,SC,Power Plants,193066.612,35.0786,-81.575,2021
Broadhurst Environmental Landfill,GA,Waste,67415.25,31.4847,-81.9898,2021
Brooklyn Navy Yard Cogeneration Project,NY,Power Plants,979415.92,40.6994,-73.9758,2021
Brooksville South Cement Plant,FL,Minerals,785254.734,28.582265,-82.430829,2021
Brownsville CT,TN,Power Plants,202846.223,35.5438,-89.198,2021
Brownsville Municipal Landfill,TX,Waste,118640.0,25.938869,-97.395248,2021
"Brunner Island, LLC",PA,Power Plants,2280196.928,40.097,-76.6962,2021
Brunot Island Power Station,PA,Power Plants,17458.984,40.4638,-80.044,2021
"Brunswick Cellulose, Inc.",GA,"Pulp and Paper,Waste",414242.796,31.173147,-81.519247,2021
Brunswick County Power Station,VA,Power Plants,3293008.048,36.766854,-77.711098,2021
Brush Power Projects,CO,Power Plants,90251.26,40.2415,-103.631,2021
Buchanan Mine #1,VA,Other,1335979.25,37.207886,-81.916612,2021
Buchanan Mine - Preparation Plant,VA,Other,33907.472,37.220511,-82.018916,2021
"Buchanan Units 1, 2",VA,Power Plants,204734.767,37.1753,-81.9617,2021
Buck,NC,Power Plants,1762785.02,35.7133,-80.3767,2021
Buckeye Texas Processing LLC,TX,"Petroleum Product Suppliers,Refineries",91966.558,27.818373,-97.502778,2021
"Boomvang Spar, East Breaks 643 Platform",TX,Petroleum and Natural Gas Systems,25419.722,27.3536,-93.3747,2021
Beaver Gas Plant,OK,Petroleum and Natural Gas Systems,46102.264,36.72641,-100.29269,2021
Belfield Gas Plant,ND,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",34522.822,46.86071,-103.215,2021
Belle Isle Battery I Production Facility,LA,Petroleum and Natural Gas Systems,30923.85,29.5289,-91.4052,2021
Bellmon Gas Plant,OK,Petroleum and Natural Gas Systems,37790.604,36.621883,-97.426383,2021
Bethel Gas Treating Facility,TX,Petroleum and Natural Gas Systems,50288.126,31.800928,-96.110294,2021
"Big Escambia Creek Gas Production, Treating and Processing Facility (BEC)",AL,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",247407.78,31.070275,-87.362958,2021
Big Lake Cryo Plant,TX,Petroleum and Natural Gas Systems,50416.846,31.109673,-101.363489,2021
Black River Gas Processing Plant,NM,Petroleum and Natural Gas Systems,46742.656,32.265179,-104.126166,2021
Blacks Fork Gas Plant,WY,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",116452.916,41.554684,-110.048865,2021
Blue Mountain Midstream - Chisholm Gas Plant,OK,Petroleum and Natural Gas Systems,28091.146,35.301718,-97.756673,2021
Blue Racer Midstream LLC - Berne Plant,OH,Petroleum and Natural Gas Systems,24473.722,39.769404,-81.289731,2021
Bluestone Gas Processing Plant,PA,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",126238.386,40.805086,-80.080106,2021
Bones Springs Plant,TX,Petroleum and Natural Gas Systems,34830.924,31.455605,-103.393389,2021
Bradley Gas Processing Plant,OK,Petroleum and Natural Gas Systems,46422.57,34.803886,-97.702105,2021
Brasada Gas Plant,TX,Petroleum and Natural Gas Systems,71915.376,28.42054,-99.259391,2021
Brazos Midstream - Comanche Plant,TX,Petroleum and Natural Gas Systems,153035.112,31.324233,-103.223179,2021
Brookeland Gas Plant,TX,Petroleum and Natural Gas Systems,77968.174,31.06255,-93.961116,2021
Bucking Horse Plant,WY,Petroleum and Natural Gas Systems,112101.75,42.74173,-105.46739,2021
Buffalo Creek Processing Plant,OK,Petroleum and Natural Gas Systems,68004.848,35.320621,-99.784754,2021
Buffalo Gas Plant,TX,Petroleum and Natural Gas Systems,50036.70548611095,32.1309623,-101.8015688,2021
Bulldog Gas Plant (Panola III),TX,Petroleum and Natural Gas Systems,134840.644,32.145628,-94.268793,2021
Bechtelsville,PA,Petroleum and Natural Gas Systems,75519.24,40.41962,-75.6225,2021
Belle River Compressor Station,MI,Petroleum and Natural Gas Systems,61896.524,42.788,-82.5306,2021
Bennington Compressor Station,OK,Petroleum and Natural Gas Systems,47116.298,33.98277,-96.0041,2021
Berne,OH,Petroleum and Natural Gas Systems,11882.55,39.7729,-81.29209,2021
Bernville Station,PA,Petroleum and Natural Gas Systems,54745.708,40.4092,-76.1511,2021
Bertrand Compressor Station,NE,Petroleum and Natural Gas Systems,4137.142,40.5087,-99.478382,2021
Bethel Compressor Station,TX,Petroleum and Natural Gas Systems,36219.676,31.893889,-95.937778,2021
Bethel Compressor Station,TX,Petroleum and Natural Gas Systems,25218.622,31.8911,-95.9144,2021
Big Hole Compressor Station,CO,Petroleum and Natural Gas Systems,2898.092,40.768594,-107.763621,2021
Blacksville Compressor Station,WV,Petroleum and Natural Gas Systems,28538.358,39.719229,-80.223848,2021
Blessing Station,TX,Petroleum and Natural Gas Systems,36259.518,33.405644,-85.973094,2021
Blue Mound Compressor Station,IL,Petroleum and Natural Gas Systems,1066.648,39.711329,-89.270344,2021
Brownsville,TX,Petroleum and Natural Gas Systems,29900.8778,25.946107,-97.42356,2021
Burnell Compressor Station,TX,Petroleum and Natural Gas Systems,29711.248,28.699021,-97.828876,2021
Burrillville,RI,Petroleum and Natural Gas Systems,68796.602,41.96763,-71.75379,2021
Bushton Compressor Station,KS,Petroleum and Natural Gas Systems,48347.754,38.496875,-98.418422,2021
Byars Lake Compressor Station,OK,Petroleum and Natural Gas Systems,21948.974,34.86408,-97.10418,2021
Bobcat,LA,Petroleum and Natural Gas Systems,45134.74,30.54161,-91.91573,2021
Bucknell University,PA,Other,30243.13,40.95685,-76.88356,2021
"Bucksport Mill, LLC",ME,"Power Plants,Waste",55411.2,44.583564,-68.807274,2021
Buffalo Trace Distillery,KY,Other,56225.688,38.21657,-84.86974,2021
Bull Run,TN,Power Plants,911636.215,36.0211,-84.1567,2021
Bunge,IA,Other,103280.312,41.166846,-95.792068,2021
Bunge Chevron Ag Renewables LLC,LA,Other,43859.984,29.939266,-90.348408,2021
Bunge Chevron Ag Renewables LLC  Cairo Facility,IL,Other,50738.96,37.01433,-89.17734,2021
Bunge North America (East) LLC,IN,Other,72018.528,40.8412,-84.9307,2021
Bunge North America (East) LLC,OH,Other,23501.712,40.84121,-84.3423,2021
Burlington (IA),IA,Power Plants,1140144.922,40.7412,-91.1168,2021
C & T REGIONAL LANDFILL,TX,Waste,5241.25,26.5774,-98.1854,2021
C D McIntosh Jr Power Plant,FL,Power Plants,1239159.828,28.0809,-81.9256,2021
C&C LANDFILL,MI,Waste,52722.4,42.356243,-85.009915,2021
C-E MINERALS PLANTS 1/2/6,GA,Minerals,143322.89,31.952913,-84.332371,2021
C. C. Perry K Steam Plant,IN,Power Plants,204073.086,39.7622,-86.1667,2021
C. R. Wing Cogeneration Plant,TX,Power Plants,143825.768,32.2722,-101.4222,2021
CABOT CORP - CANAL PLANT,LA,Chemicals,308671.62,29.734346,-91.482148,2021
CABOT CORP - VILLE PLATTE PLANT,LA,Chemicals,290261.26,30.7492,-92.2532,2021
CACTUS LANDFILL,AZ,Waste,18362.498,32.774244,-111.32412,2021
"CADILLAC CASTING, INCORPORATED",MI,Metals,42886.176,44.2644,-85.4092,2021
CALABASAS SANITARY LANDFILL,CA,Waste,56729.872,34.141301,-118.711378,2021
CALCASIEU REFINING COMPANY,LA,"Petroleum Product Suppliers,Refineries",165163.65,30.1338,-93.3206,2021
CALGON CARBON CORP,KY,Chemicals,43543.14,38.340278,-82.591389,2021
CALIFORNIA DAIRIES INC FRESNO,CA,Other,36048.264,36.72757,-119.79175,2021
CALIFORNIA DAIRIES INC TIPTON,CA,Other,45674.128,36.0094,-119.3054,2021
CALIFORNIA DAIRIES INC TURLOCK,CA,Other,38059.656,37.49033,-120.88539,2021
CALIFORNIA DAIRIES INC VISALIA,CA,Other,67468.996,36.34223,-119.39454,2021
CALIFORNIA STEEL INDUSTRIES INC,CA,Metals,167893.668,34.07737,-117.499688,2021
"CALUMET KARNS CITY REFINING, LLC.",PA,Petroleum and Natural Gas Systems,31804.364,40.996111,-79.724167,2021
CALUMET LUBRICANTS CO LP,LA,"Chemicals,Petroleum Product Suppliers,Refineries",103195.984,32.58901,-93.51512,2021
CALUMET LUBRICANTS CO LP CALUMET COTTON VALLEY,LA,"Chemicals,Petroleum Product Suppliers,Refineries",93998.852,32.800556,-93.412778,2021
CALUMET SHREVPORT REFINING LLC,LA,"Chemicals,Petroleum Product Suppliers,Refineries",527986.264,32.470833,-93.790833,2021
CAMDEN CNTY RESOURCE RECOVERY ASSOC,NJ,Waste,137577.936,39.9094,-75.1167,2021
CAMELOT LANDFILL,TX,Waste,102288.25,33.043321,-96.945276,2021
CAMINO REAL LANDFILL,NM,Waste,55041.0,31.80687,-106.58809,2021
CAMPBELL SOUP COMPANY (0335010105),OH,"Other,Waste",80324.398,41.412452,-84.143514,2021
CAMPBELL SOUP SUPPLY COMPANY,NC,Other,55495.392,34.7724,-79.325,2021
"CAMPBELL SOUP SUPPLY COMPANY, LLC DBA DIXON CANNING CORP.",CA,Other,39800.2,38.47661,-121.80385,2021
CALUMET GAS PROCESSING PLT,OK,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems",33111.698,35.667106,-98.15412,2021
CANADIAN VALLEY LANDFILL,OK,Waste,13329.0,35.347587,-96.803468,2021
"CANTON, CITY OF, CANTON SANITARY LANDFILL",MS,Waste,37615.25,32.59695,-90.066397,2021
CAPE MAY COUNTY MUA SECURE LANDFILL,NJ,Waste,149412.684,39.2294,-74.7749,2021
CAPITOL CEMENT PLANT,TX,Minerals,464200.738,29.545278,-98.421111,2021
CAPITOL POWER PLANT,DC,Power Plants,66442.736,38.88324,-77.00745,2021
CARAUSTAR MILL GROUP INC AUSTELL BOXBOARD MILLS,GA,Pulp and Paper,100544.736,33.819375,-84.647595,2021
CARBO Ceramics Inc. - Eufaula Plant,AL,Minerals,13567.648,31.876973,-85.156068,2021
CARBO Ceramics Inc. - McIntyre Plant,GA,Minerals,15333.792,32.84748,-83.16192,2021
CARBO Ceramics Inc. - Toomsboro Plant,GA,Minerals,16077.14,32.84951,-83.12733,2021
CARBON GREEN BIOENERGY,MI,"Other,Waste",73337.17,42.76601,-85.07428,2021
CARBON LIMESTONE LANDFILL,OH,Waste,88191.248,41.0,-80.525,2021
"CARDINAL ETHANOL, LLC",IN,"Other,Suppliers of CO2,Waste",186523.748,40.18595,-84.86228,2021
CARDINAL FG,WI,Minerals,127979.704,43.55865,-89.49912,2021
CARDINAL FG COMPANY,WI,Minerals,118580.932,44.91034,-91.8788,2021
CARDINAL FG FLAT GLASS PLANT,NC,Minerals,109109.172,35.63526,-80.786231,2021
CARDINAL GLASS INDUSTRIES - GREENLAND PLANT,TN,Minerals,137865.94,36.497,-82.77946,2021
CARDINAL GLASS PLT,OK,Minerals,121443.736,34.001573,-96.452851,2021
CARESTREAM HEALTH INC.,CO,Chemicals,34893.868,40.4584,-104.87399,2021
CARGILL,GA,Other,46037.476,34.290701,-83.811488,2021
CARGILL CORN MILLING-WAHPETON FACILITY,ND,Other,53469.764,46.3504,-96.641386,2021
CARGILL INC,KS,Other,46620.724,37.70884,-97.32938,2021
CARGILL INC - EDDYVILLE,IA,Other,386067.796,41.16226,-92.6361,2021
CARGILL INC SALT DIV,OH,Other,49160.664,41.04268,-81.54533,2021
CARGILL INC SOY PROCESSING PLANT *,OH,Other,62863.164,40.27555,-84.19473,2021
CARGILL INC-CEDAR RAPIDS,IA,Other,100430.172,41.969519,-91.648447,2021
CARGILL INC/SALT DIVISION,KS,Other,42836.688,38.04297,-97.91929,2021
CARGILL INCORPORATED,AL,Other,34410.52,34.347647,-86.287392,2021
CARGILL INCORPORATED,OH,Other,171907.952,39.8242,-84.1747,2021
"CARGILL INCORPORATED, WATKINS GLEN PLANT",NY,Other,49567.464,42.383322,-76.864083,2021
CARGILL MEAT SOLUTIONS,KS,"Other,Waste",70682.646,37.7428,-99.9511,2021
CARGILL MEAT SOLUTIONS CORPORATION,CO,"Other,Waste",37195.96,40.2469,-103.7756,2021
CARGILL SALT SAINT CLAIR,MI,Other,69805.788,42.8184,-82.4858,2021
CARLTON FORGE WORKS,CA,Other,25946.652,33.89479,-118.16474,2021
CARMEUSE LIME & STONE INC,AL,Minerals,595353.55,33.2186,-86.7859,2021
CARMEUSE LIME & STONE ROCKWELL OPERATION,WI,Minerals,168739.146,44.16799,-87.70028,2021
CARMEUSE LIME BLACK RIVER OPERATION,KY,Minerals,1123261.092,38.83745,-84.24302,2021
CARMEUSE LIME INC - River Rouge,MI,Minerals,395042.964,42.2774,-83.128,2021
"CARMEUSE LIME, INC.  GRAND RIVER OPERATIONS (0243030257)",OH,Minerals,270993.036,41.75017,-81.28281,2021
CARMEUSE OHIO INC - MAPLEGROVE LIME PLANT,OH,Minerals,541064.108,41.2246,-83.2084,2021
CAROLINA STALITE COMPANY,NC,Minerals,113705.214,35.50767,-80.3297,2021
CARPENTER TECHNOLOGY,PA,Metals,150750.756,40.361105,-75.936838,2021
CARROLL COUNTY SOLID WASTE MANAGEMENT COMMISSION,IA,Waste,41109.198,42.07703,-94.89796,2021
CARTER VALLEY LANDFILL,TN,Waste,29534.398,36.527799,-82.723924,2021
CASCADE PACIFIC PULP HALSEY PULP MILL,OR,Pulp and Paper,53632.754,44.382194,-123.159618,2021
CASCADE STEEL ROLLING MILLS INC,OR,Metals,68457.352,45.22863,-123.15905,2021
CASPER BALEFILL,WY,Waste,11877.25,42.87431,-106.2818,2021
CATERPILLAR INC.-MAPLETON,IL,"Metals,Waste",190456.58,40.559343,-89.747989,2021
CATERPILLAR INCORPORATED,IN,Other,27968.916,40.41752,-86.84582,2021
CAVE CREEK MSW LANDFILL,AZ,Waste,20011.5,33.799979,-111.992472,2021
"CC METALS & ALLOYS, LLC",KY,Metals,180619.642,37.05648,-88.35108,2021
CEDAR RIDGE LANDFILL,TN,Waste,22000.794,35.461944,-86.836944,2021
CEMEX CONSTRUCTION MATERIALS ATLANTIC LLC,TN,Minerals,495924.76,36.022505,-83.834408,2021
CEMEX CONSTRUCTION MATERIALS SOUTH LLC,CO,Minerals,292877.08,40.202236,-105.236697,2021
CEMEX Construction Materials Pacific LLC,CA,Minerals,2062274.206,34.39654,-117.150005,2021
"CEMEX Construction Materials South, LLC",TX,Minerals,1144444.12,29.672028,-98.175083,2021
CEMEX MIAMI,FL,Minerals,684728.02,25.786463,-80.421113,2021
CEMEX SOUTHEAST LLC,GA,Minerals,361756.086,32.4152,-83.6333,2021
"CEMEX SOUTHEAST LLC, DEMOPOLIS PLANT",AL,Minerals,515652.22,32.5127,-87.815631,2021
CENTERPOINT LANDFILL,IN,Waste,22612.0,39.476964,-86.992178,2021
CENTRAL BI-PRODUCTS - LONG PRAIRIE,MN,"Other,Waste",38270.652,45.997706,-94.8606,2021
CENTRAL BI-PRODUCTS - REDWOOD FALLS,MN,"Other,Waste",30391.364,44.57046,-95.11507,2021
CENTRAL DISPOSAL SYSTEMS INC,IA,Waste,17108.4,43.38633,-93.57196,2021
CENTRAL ENERGY FACILITY,MI,Other,41953.692,43.585522,-84.77121,2021
"CENTRAL INDIANA ETHANOL, LLC",IN,"Other,Suppliers of CO2",134448.644,40.56492,-85.72772,2021
CENTRAL MAUI LANDFILL REFUSE & RECYCLING CENTER,HI,Waste,61762.75,20.772523,-156.327405,2021
CENTRAL MISSOURI LANDFILL,MO,Waste,121855.25,38.72171,-93.289139,2021
CENTRAL PENINSULA BALING FACILITY-SOLDOTNA LF,AK,Waste,54768.492,59.64213,-151.570545,2021
CENTRAL POWER STATION,AK,Petroleum and Natural Gas Systems,801343.396,70.275827,-148.664928,2021
CENTRAL SANITARY LANDFILL,MD,Waste,114493.5,38.224046,-75.341031,2021
CENTRAL SANITARY LANDFILL,MI,Waste,43287.448,43.33033,-85.509633,2021
CENTURY ALUMINUM OF KENTUCKY,KY,Metals,782022.751,37.94499,-86.78777,2021
CERRO COLORADO LANDFILL,NM,Waste,194513.4,35.0088,-106.8762,2021
CERTAINTEED CEILINGS CORP,MI,Minerals,24504.208,46.75663,-88.456086,2021
CERTAINTEED CORP.,KS,Minerals,48030.088,39.142019,-94.615315,2021
CERTAINTEED CORPORATION,CA,Minerals,60953.196,37.09312,-120.226012,2021
CERTAINTEED GYPSUM,WV,Minerals,71276.232,39.815343,-80.81116,2021
CERTAINTEED GYPSUM & CEILING MFG INC,KY,Minerals,68188.944,38.71793,-85.092051,2021
CERTAINTEED GYPSUM NASHVILLE,AR,Minerals,47749.72,34.072694,-93.90225,2021
CERTAINTEED GYPSUM SEATTLE,WA,Minerals,55215.692,47.547909,-122.337341,2021
CF & I STEEL L P/ DBA ROCKY MOUNTAIN STEEL MILLS,CO,"Metals,Waste",291434.272,38.232627,-104.607257,2021
"CF INDUSTRIES NITROGEN, LLC - DONALDSONVILLE NITROGEN COMPLEX",LA,Chemicals,9052754.262,30.086917,-90.957861,2021
"CF Industries East Point, LLC",LA,"Chemicals,Suppliers of CO2",994102.932,29.965,-90.26248,2021
"CF Industries Nitrogen, LLC - Yazoo City Facility",MS,Chemicals,2090197.216,32.904606,-90.383153,2021
"CF Industries Nitrogen, LLC-Port Neal Nitrogen Complex",IA,"Chemicals,Suppliers of CO2",2764237.958,42.336109,-96.377777,2021
CGGSWA Regional Landfill,VA,Waste,38864.65,36.7623,-80.7516,2021
CGS Services Inc.,IN,Waste,204263.192,39.68068,-85.72634,2021
CHAIN OF ROCKS RECYCLING & DISPOSAL,IL,Waste,3775.75,38.753635,-90.158264,2021
CHALK CLIFF COGEN,CA,Power Plants,8694.568,35.44735,-119.08652,2021
CHALMETTE REFINING LLC - CHALMETTE REFINERY,LA,"Petroleum Product Suppliers,Refineries",1565594.094,29.936411,-89.972954,2021
"CHAMBERS OF MISSISSIPPI INC, CLEARVIEW ENVIRONMENTAL CONTROL FACILITY LANDFILL",MS,Waste,55149.75,32.226346,-89.372269,2021
CHANNELVIEW COMPLEX,TX,"Chemicals,Petroleum Product Suppliers",2071439.832,29.8308,-95.1164,2021
CHAPARRAL STEEL,VA,Metals,140044.56,37.179254,-77.447487,2021
CHAPARRAL STEEL MIDLOTHIAN PLANT,TX,Metals,272784.264,32.458249,-97.036607,2021
CENTRAL COMPRESSOR PLANT,AK,Petroleum and Natural Gas Systems,3024876.454,70.320033,-148.500179,2021
CENTRAL GAS FACILITY,AK,Petroleum and Natural Gas Systems,2053952.794,70.320628,-148.52129,2021
CARTHAGE CMP STN,TX,Petroleum and Natural Gas Systems,5357.644,32.1525563938213,-94.3390770989006,2021
CHATHAM CMP STN,LA,Petroleum and Natural Gas Systems,40425.002,32.31101,-92.46053,2021
CHARLES COUNTY LANDFILL,MD,Waste,72609.85,38.5748,-76.884165,2021
CHARLES M HINTON JR REGIONAL LANDFILL,TX,Waste,205602.298,32.962749,-96.534024,2021
CHARLESTON COUNTY LANDFILL,SC,Waste,134528.5,32.8211,-80.1089,2021
CHARLOTTE CO.BOARD OF CO.COMMISIONERS,FL,Waste,129739.208,26.795556,-81.960556,2021
CHARLOTTE PIPE & FOUNDRY CO,NC,Metals,54530.672,35.224323,-80.861806,2021
CHARTER STEEL,WI,Metals,148804.968,43.39695,-87.94966,2021
CHARTER STEEL CLEVELAND *,OH,Metals,143122.512,41.442661,-81.66421,2021
CHASTANG SANITARY LANDFILL,AL,Waste,17206.5,31.0451,-88.0357,2021
CHEMOURS CHAMBERS WORKS,NJ,"Chemicals,Industrial Gas Suppliers,Waste",50562.258,39.68203,-75.490544,2021
CHEMOURS COMPANY - FAYETTEVILLE WORKS,NC,"Chemicals,Industrial Gas Suppliers",49966.266087,34.8419,-78.8388,2021
CHEMOURS DELISLE PLANT,MS,Chemicals,809374.188,30.389186,-89.308892,2021
CHEMOURS EL DORADO,AR,"Chemicals,Industrial Gas Suppliers",84122.247,33.11,-92.675,2021
CHEMOURS LOUISVILLE WORKS,KY,"Chemicals,Waste",2689861.81,38.217166,-85.841979,2021
CHEMOURS WASHINGTON WORKS,WV,"Chemicals,Industrial Gas Suppliers",720938.374995,39.271944,-81.661667,2021
CHEMUNG COUNTY LANDFILL,NY,Waste,29051.9,42.032962,-76.679228,2021
CHENA POWER PLANT,AK,Power Plants,311668.668,64.84689,-147.73334,2021
CHEROKEE NITROGEN,AL,"Chemicals,Suppliers of CO2",459227.658,34.80302,-87.93974,2021
CHESSER ISLAND ROAD LANDFILL,GA,Waste,51029.0,30.708381,-82.064558,2021
